status,product_area,response,justification,request_type
escalated,Team & Access Management,Thank you for contacting Claude support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Team & Access Management) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
escalated,Assessments & Scoring,"Thank you for reaching out. Unfortunately, this request falls outside what HackerRank support is able to action. We are unable to override third-party decisions, intervene with external merchants, or modify platform outcomes on your behalf. Please review our support policies for further guidance.","Request classified as invalid — asks for actions outside support scope (e.g. overriding recruiter decisions, banning merchants, restoring unauthorised access). Escalated per policy.",invalid
escalated,Dispute & Chargeback,"Thank you for reaching out. Unfortunately, this request falls outside what Visa support is able to action. We are unable to override third-party decisions, intervene with external merchants, or modify platform outcomes on your behalf. Please review our support policies for further guidance.","Request classified as invalid — asks for actions outside support scope (e.g. overriding recruiter decisions, banning merchants, restoring unauthorised access). Escalated per policy.",invalid
escalated,Interviews,Thank you for contacting HackerRank support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Interviews) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",bug
escalated,Billing,Thank you for contacting HackerRank support. Your case has been escalated to our specialist team who will review it shortly. Please do not share sensitive account details over this channel. A support agent will follow up with you directly.,"Issue involves a sensitive area (Billing) such as billing, fraud, account access, or identity. Escalated to human agent for secure handling.",product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" source_url: ""https://support.hackerrank.com/articles/3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" article_slug: ""3350882088-oracle-recruiting-cloud-and-hackerrank-integration-user-guide"" last_upd... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""early-talent"" source_url: ""https://support.hackerrank.com/articles/1216495690-early-talent-"" article_slug: ""1216495690-early-talent-"" last_updated_exact: ""Oct 15, 2025, 10:15 PM"" last_updated_relative: ""Last updated 6 months ago"" breadcrumbs:   - ""General Help""   - ""Evaluation Guides""... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,General Support,"Thank you for reaching out to HackerRank support regarding General Support. Based on our documentation: title_slug: ""hackerrank-dataset-creation-methodology"" source_url: ""https://support.hackerrank.com/articles/4425890244-hackerrank-dataset-creation-methodology"" article_slug: ""4425890244-hackerrank-dataset-creation-methodology"" last_updated_exact: ""Jun 23, 2025, 7:29 PM"" last_updated_relative: ""Last u... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to General Support documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
replied,Assessments & Scoring,"Thank you for reaching out to HackerRank support regarding Assessments & Scoring. Based on our documentation: title_slug: ""january-2026-release-notes-screen-skills-platform-developer-experience-integrity-interview-data-and-insights-integrations-skillup-deprecations-and-experience-changes"" source_url: ""https://support.hackerrank.com/articles/2321596225-january-2026-release-notes"" article_slug: ""2321596225-ja... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Assessments & Scoring documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,bug
replied,Assessments & Scoring,"Thank you for reaching out to HackerRank support regarding Assessments & Scoring. Based on our documentation: title_slug: ""april-2026-release-notes-screen-interview-platform-chakra-ai-interviewer-skillup-community-deprecations-and-experience-changes"" source_url: ""https://support.hackerrank.com/articles/4368819843-april-2026-release-notes"" article_slug: ""4368819843-april-2026-release-notes"" last_updated_exac... If this does not resolve your issue, please provide more details and we will assist you further.",Issue matched to Assessments & Scoring documentation. Response grounded in local support corpus. No sensitive data detected — safe to reply directly.,product_issue
